Current,Voc,V_err
300,0.018175976000000003,0.0009355969191612386
320,0.5218597399999998,0.001090563798408875
340,0.6718506800000001,0.00019284242686711504
360,0.78418968,0.000685322859388198
380,0.86201384,0.0003269518105164768
400,0.9196436,0.00027136804528164646
420,0.9608453599999999,5.218201222644548e-05
440,0.98420938,0.000259915450868145
460,1.00012994,0.0002728722895422052
480,1.0131392,0.00028174058990495724
500,1.0242744000000001,0.00017966034620918103
520,1.033699,0.00015243752818777943
540,1.0436324000000001,9.559204987861123e-05
560,1.0519678000000001,7.572423654286732e-05
580,1.0595852000000001,4.175356272222503e-05
600,1.0665524,9.513064700715376e-05
620,1.0725761999999999,6.239679478950921e-05
640,1.0779824,6.516624893297889e-05
660,1.0828768,4.913410221015825e-05
680,1.0873313999999998,8.793543085697512e-05
700,1.091126,5.7657610078834314e-05
720,1.0961952,1.1124747188121688e-05
740,1.0999552,8.595673330227691e-05
760,1.1009052000000001,1.0906878563571703e-05
780,1.1075245999999999,3.1922405924354145e-05
