Current,Voc,V_err
300,0.030883165999999997,0.006956833959190343
320,0.50568798,0.00014041916393426433
340,0.6225808199999999,0.0004315876661815072
360,0.72499328,0.0003113565762915667
380,0.7952488200000001,0.0003495630666989755
400,0.85230178,0.00014996716173880424
420,0.8923683,0.00027746876580975427
440,0.92287088,0.0003033202624290372
460,0.94688906,0.000129002784466085
480,0.9684066600000001,0.00022485458056264903
500,0.9861037400000001,0.00013359566759442532
520,1.0008244,0.00020818991330030638
540,1.0157996,0.0001145086896265973
560,1.0278414,0.00011281595631827524
580,1.0389844,4.122911592553751e-05
600,1.0478966,0.00014545597272029083
620,1.0558640000000001,2.5768197453443276e-05
640,1.0627974,3.0368404633806345e-05
660,1.0693264,2.9391155132129795e-05
680,1.0754156,3.2487536071596295e-05
700,1.0811412,5.3540265221612913e-05
720,1.0872658,5.0364273051459055e-05
740,1.092143,2.37907545067621e-05
760,1.0930616,4.0893031191142486e-05
780,1.1010452000000002,0.00010830955636506191
