,Voltage (V),Current Density (mA/cm2),Current (A),Measured Voltage (V),Power Density (mW/cm2)
0,-0.01,25.491285714285713,-0.00178439,-0.009995563,-0.25479975230814284
1,0.010612244897959184,25.42347142857143,-0.001779643,0.01072168,0.2725823251462857
2,0.031224489795918367,25.416214285714286,-0.001779135,0.03134046,0.7965558471728572
3,0.051836734693877555,25.406157142857143,-0.001778431,0.05195551,1.3199898514972859
4,0.07244897959183674,25.40055714285714,-0.001778039,0.07256558,1.8432061613945712
5,0.09306122448979592,25.425842857142854,-0.001779809,0.09317152,2.3689644262811425
6,0.11367346938775512,25.392714285714284,-0.00177749,0.1137952,2.889569000685714
7,0.13428571428571429,25.40205714285714,-0.001778144,0.1344038,3.414133007817142
8,0.15489795918367347,25.382614285714283,-0.001776783,0.1550102,3.9345641169514276
9,0.17551020408163265,25.389971428571428,-0.001777298,0.1756124,4.4587938185028575
10,0.19612244897959183,25.38962857142857,-0.001777274,0.1962317,4.98224997694
11,0.216734693877551,25.39591428571428,-0.001777714,0.2167971,5.505760568991427
12,0.23734693877551022,25.390657142857137,-0.001777346,0.2374189,6.028221889134284
13,0.25795918367346937,25.39732857142857,-0.001777813,0.2580379,6.553473330181428
14,0.2785714285714286,25.382371428571425,-0.001776766,0.278654,7.072899328057142
15,0.29918367346938773,25.354314285714285,-0.001774802,0.2993092,7.588779525405714
16,0.31979591836734694,25.346742857142853,-0.001774272,0.3198904,8.108179711268571
17,0.34040816326530615,25.314899999999998,-0.001772043,0.3404761,8.619118423889999
18,0.3610204081632653,25.281614285714284,-0.001769713,0.3610527,9.127995098215713
19,0.3816326530612245,25.264485714285712,-0.001768514,0.381673,9.642772056028571
20,0.40224489795918367,25.192228571428572,-0.001763456,0.402257,10.133750288457142
21,0.4228571428571429,25.176514285714283,-0.001762356,0.422857,10.646065301314284
22,0.44346938775510203,25.12588571428571,-0.001758812,0.4434808,11.14284789728
23,0.46408163265306124,25.04572857142857,-0.001753201,0.4641362,11.624629285374285
24,0.48469387755102045,24.97527142857143,-0.001748269,0.4847499,12.106760327472857
25,0.5053061224489797,24.851657142857142,-0.001739616,0.5053711,12.55930930710857
26,0.5259183673469388,24.70272857142857,-0.001729191,0.5259933,12.99346972029
27,0.546530612244898,24.522071428571426,-0.001716545,0.5466447,13.404860379449998
28,0.5671428571428572,24.256642857142857,-0.001697965,0.5672467,13.759500613792857
29,0.5877551020408164,23.981999999999996,-0.00167874,0.5878316,14.097377431199998
30,0.6083673469387755,23.597785714285713,-0.001651845,0.6084137,14.357216118235712
31,0.6289795918367347,23.122542857142857,-0.001618578,0.6290631,14.545538489597142
32,0.6495918367346939,22.47772857142857,-0.001573441,0.6496459,14.602564207741429
33,0.6702040816326531,21.736571428571427,-0.00152156,0.6702318,14.5685413944
34,0.6908163265306123,20.821414285714283,-0.001457499,0.6908142,14.383728652654286
35,0.7114285714285714,19.705099999999998,-0.001379357,0.7114682,14.019552027819998
36,0.7320408163265306,18.349557142857144,-0.001284469,0.7320921,13.433565822784287
37,0.7526530612244898,16.707685714285713,-0.001169538,0.7527166,12.576152384725713
38,0.773265306122449,14.649571428571425,-0.00102547,0.7733329,11.328995556614283
39,0.7938775510204081,12.243141428571427,-0.0008570199,0.7939792,9.720799636944
40,0.8144897959183673,8.859241428571428,-0.0006201469,0.8146071,7.216800968328428
41,0.8351020408163266,4.822048571428571,-0.0003375434,0.8352312,4.027525414772571
42,0.8557142857142858,-0.05204272857142857,3.642991e-06,0.8558241,-0.04453942134118714
43,0.876326530612245,-6.611394285714286,0.0004627976,0.8764825,-5.794771392028572
44,0.8969387755102041,-14.85602857142857,0.001039922,0.8970398,-13.326448898508572
45,0.9175510204081633,-24.99575714285714,0.001749703,0.9176048,-22.936226733919998
46,0.9381632653061225,-37.50738571428571,0.002625517,0.938186,-35.188904173742856
47,0.9587755102040817,-52.52954285714285,0.003677068,0.958842,-50.367531932228566
48,0.9793877551020409,-70.0293857142857,0.004902057,0.979442,-68.5897216027714
49,1.0,-90.07154285714284,0.006305008,1.000068,-90.07766772205713
