in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.09216e-06,1.39897e-06,6.30625e-07,2.8262e-05,1.18546e-06,2.87817e-05
1.0765e-06,1.33704e-06,8.66774e-07,2.96013e-05,1.62749e-06,2.89382e-05
8.10255e-08,1.61364e-06,8.61593e-07,3.05588e-05,1.76417e-06,2.95137e-05
5.35398e-07,2.18432e-06,9.85638e-07,3.04227e-05,2.18432e-06,3.02402e-05
4.81672e-07,2.18432e-06,1.09216e-06,2.96218e-05,2.18432e-06,3.05178e-05
4.9669e-07,2.18432e-06,1.09216e-06,2.95845e-05,1.50328e-06,3.02085e-05
3.14672e-07,2.18432e-06,1.09216e-06,2.96553e-05,8.23293e-07,3.00111e-05
4.61821e-07,1.84263e-06,1.09216e-06,2.95193e-05,8.62874e-07,3.03836e-05
4.07339e-07,1.42924e-06,1.09216e-06,2.9158e-05,1.09373e-06,3.10487e-05
1.76195e-07,1.24344e-06,1.09216e-06,2.86457e-05,8.39125e-07,3.14771e-05
